2026-08-16 19:26:58,772 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:58,781 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:58,800 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:58,800 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:58,800 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:58,800 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:58,801 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:58,801 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:58,801 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:58,801 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:58,814 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:58,817 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:58,830 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:58,843 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:58,847 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:58,862 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:58,863 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:58,874 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:58,885 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 19:26:58,888 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:58,902 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:58,902 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:58,902 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:58,902 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:58,903 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:58,903 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:58,903 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:58,903 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:58,949 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 19:26:58,966 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:58,974 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 19:26:58,976 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:58,992 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:59,031 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 19:26:59,046 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:59,054 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 19:26:59,057 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:59,073 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 19:26:59,074 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 19:26:59,112 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 19:26:59,136 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 19:26:59,143 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 19:26:59,146 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 19:26:59,157 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 19:26:59,158 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
